id,date,description,normalized_description,amount,merchant,category,subcategory,account,account_type,source_file,needs_review,notes,created_at,updated_at
f1bb5cc463f0397d0706f4b0144418a7ba3af5288e84083014705a2968f62afc,2026-04-04,APPLE.COM/BILL      INTERNET CHARGE     CA,Apple.Com/Bill,-9.99,Apple,Subscriptions,Software,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
896b7bb516e68aabb496ee3791a959f365813d526a3940cbcce452d2faaca20d,2026-04-03,FIGMA               SAN FRANCISCO       CA,Figma,-205.44,Figma,Subscriptions,Software,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
5805249b08eb3dc777a8ce2e4f8d1ad5ccc68d9ac8a5be1ccab444cad9f1ab96,2026-04-03,NETFLIX.COM         866-579-7172        CA,Netflix.Com,-8.55,Netflix,Subscriptions,Streaming,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
c36d63ba00eca9a7dac47ed35d9edf3736b56c12afbfab4e7b0dd995062fd5d5,2026-04-02,GAMEDAY MEN S HEALTHWEXFORD             PA,Gameday Men S Healthwexford,-226.66,Gameday Men,Health,Medical,American Express,credit_card,american express.csv,true,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
d1f638b3e80b4063a6263ef53cbe71c86edb896acfa29b473d4ed2e48060b799,2026-04-01,AUTOPAY PAYMENT - THANK YOU,Autopay Payment - Thank You,603.38,Autopay Payment,Payments,Credit Card,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T20:48:20Z
5d7bf6b87f4c9a4d7f4c133be56ffe6d8568e856ce94e17aa6d299ed6b0222ad,2026-03-29,FREEMIUS* PLOVER KITWILMINGTON          DE,Freemius* Plover Kitwilmington,-53.49,Freemius* Plover,Subscriptions,Software,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
23067043a440cd31c2464da66510719f6dbd70ffa8af523dd2a3a9e24d4dd299,2026-03-28,AplPay WP*WORDPRESS SAN FRANCISCO       CA,Aplpay Wp San Francisco,-51.36,Aplpay Wp,Misc,Uncategorized,American Express,credit_card,american express.csv,true,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
dbf30cc03407bea3f23791aea2b7a78e7b89185ef3def15a5cf559815f2257ac,2026-03-26,CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,Claude.Ai Subscriptisan Francisco,-21.4,Claude.Ai,Subscriptions,Software,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
366b31b3a63a07e85969af057e81abd52fed85f6ab3fa3341fdfb7b047e6f4a4,2026-03-25,CHEWY.COM           (800)672-4399       FL,Chewy.Com,-81.3,Chewy,Shopping,General Merchandise,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
561de98c2f571a824532e9c63a8fe667c9dc1b8db201e68025beb3e655f91172,2026-03-23,APPLE ONLINE STORE  CUPERTINO           CA,Apple Online Store Cupertino,-105.93,Apple Online,Shopping,Electronics,American Express,credit_card,american express.csv,true,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
265eec45ab2283e88ef572906f5fa7b9cbfffe00c2f34c9b2b38fa280778591d,2026-03-22,GOOGLE *YOUTUBE TV   G.CO/HELPPAY#      CA,Google,-82.99,Google,Subscriptions,Software,American Express,credit_card,american express.csv,true,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
bb48414d30aac9ff90b54a26a1cfafea6b0ac70a0827abb993d595696caadba3,2026-03-17,2300 Debit Card Purchase Mcdonalds 6822,Mcdonalds,-29.28,Mcdonalds,Food & Drink,Fast Food,Joint Account,checking,Joint_Account_Spend_x5974_Statement_March_2026.txt,false,,2026-04-10T20:19:49Z,2026-04-10T20:19:49Z
dfb5d6eed58beab1d7398c8f560af7f7279d7ee892f7c67a618d6565e237cb57,2026-03-17,2300 Recurring Debit Card Att* Bill Payment,Att* Bill Payment,-168.12,Att* Bill,Utilities,Phone,Joint Account,checking,Joint_Account_Spend_x5974_Statement_March_2026.txt,true,,2026-04-10T20:19:49Z,2026-04-10T20:19:49Z
e214a98969f645054ad747ae440c63f95878b1b1ec032d08fbe6ff7ad3bc97c0,2026-03-17,Online Transfer To XXXXX5982,Online Transfer To Xxxxx5982,-100.00,Online Transfer,Transfers,Outbound,Joint Account,checking,Joint_Account_Spend_x5974_Statement_March_2026.txt,false,,2026-04-10T20:19:49Z,2026-04-10T20:48:20Z
c13a26cd8dea04e0889f4b99d3eab99bbdc3c00786562be04075fa979d27927e,2026-03-17,Online Transfer To XXXXX6002 Daily Balance Detail,Online Transfer To Xxxxx6002 Daily Balance Detail,-350.00,Online Transfer,Transfers,Outbound,Joint Account,checking,Joint_Account_Spend_x5974_Statement_March_2026.txt,false,,2026-04-10T20:19:49Z,2026-04-10T20:48:20Z
9a2b4d0caca95c579bbbc4802c8b9c25b93206a1f4ae79a0e7f0a8074cf44701,2026-03-16,POS Purchase Wm Supercenter Pittsburgh PA,Wm Supercenter Pittsburgh,-141.00,Walmart,Groceries,Supermarket,Joint Account,checking,Joint_Account_Spend_x5974_Statement_March_2026.txt,false,,2026-04-10T20:19:49Z,2026-04-10T20:19:49Z
1c1c9e755e0a53639b3f9db2d43c6e9e6023ecd352bef08b7b9559fe6d18c1a5,2026-03-16,2300 Debit Card Purchase Sq *Redford Creative,Sq Creative,-50.00,Sq Creative,Misc,Uncategorized,Joint Account,checking,Joint_Account_Spend_x5974_Statement_March_2026.txt,true,,2026-04-10T20:19:49Z,2026-04-10T20:19:49Z
79cf89c9f1e4847fb794664b05c148e9449e7bb7e368f5dbf254556aabd27daa,2026-03-16,POS Purchase Amazon.Com*Bd3 Seattle Wa,Amazon.Com Seattle Wa,-10.57,Amazon,Shopping,General Merchandise,Joint Account,checking,Joint_Account_Spend_x5974_Statement_March_2026.txt,false,,2026-04-10T20:19:49Z,2026-04-10T20:19:49Z
75a5d48ce378b54f90a1963d5b2cfb129d8cad691b7ddf1fb934eec465e31bb9,2026-03-14,$120 Disney Streaming Credit,$120 Disney Streaming Credit,10.0,$120 Disney,Subscriptions,Streaming,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
8c4aedbf5284a12ba333970e65ca21850d9a3ea1d14ded1eaf974020a85d8569,2026-03-14,APPLE.COM/BILL      INTERNET CHARGE     CA,Apple.Com/Bill,-21.39,Apple,Subscriptions,Software,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
9ab4fb8840ae7d13300471f2c3315727ef83536e5dfec0ee927d9b64b3640470,2026-03-14,DISNEYPLUS          888-905-7888        CA,Disneyplus,-20.32,Disney+,Subscriptions,Streaming,American Express,credit_card,american express.csv,false,,2026-04-10T16:58:30Z,2026-04-10T16:58:30Z
